dataset,sampler,model,ratio,accuracy,precision,recall,f1
abalone.csv,Original,Random Forest,,0.6802232854864434,0.6896930714717758,0.6498862566521117,0.6624799987471942
abalone.csv,Original,XGBoost,,0.671451355661882,0.6774796543819211,0.6474897166936479,0.6581444143967167
abalone.csv,Original,LightGBM,,0.6698564593301436,0.6745637196100439,0.6494806765834752,0.6589253876378882
abalone.csv,smote,Random Forest,0.6,0.6850079744816587,0.6868787435692653,0.6654530473273297,0.6737233293329178
abalone.csv,smote,XGBoost,0.6,0.6650717703349283,0.6638780292264285,0.6511972347898295,0.6565379176887931
abalone.csv,smote,LightGBM,0.6,0.671451355661882,0.6715452943613615,0.6545227424992369,0.6613692176238163
abalone.csv,smote,Random Forest,0.8,0.6786283891547049,0.6756455361521567,0.6665170078559147,0.6704137232578308
abalone.csv,smote,XGBoost,0.8,0.6555023923444976,0.6519260186344041,0.6474518328410829,0.6492823590727457
abalone.csv,smote,LightGBM,0.8,0.6698564593301436,0.6649626698320129,0.6619257337784545,0.6632663029486213
abalone.csv,smote,Random Forest,1.0,0.671451355661882,0.6666807587478969,0.668435071033881,0.6669526619004625
abalone.csv,smote,XGBoost,1.0,0.6515151515151515,0.6466153444009161,0.6440703127159301,0.6450624010936427
abalone.csv,smote,LightGBM,1.0,0.6594896331738437,0.649556691835984,0.6560875460187585,0.6523292478725886
abalone.csv,customsmote,Random Forest,0.6,0.6738437001594896,0.673188909800071,0.6540261371555586,0.661579154244546
abalone.csv,customsmote,XGBoost,0.6,0.6618819776714514,0.6605855739293692,0.6428631288890357,0.6499535804751745
abalone.csv,customsmote,LightGBM,0.6,0.6674641148325359,0.6651738792289804,0.6499690514064859,0.6561973056046472
abalone.csv,customsmote,Random Forest,0.8,0.6594896331738437,0.6566612280141068,0.642773648748915,0.6484696103014813
abalone.csv,customsmote,XGBoost,0.8,0.6515151515151515,0.6479445070980177,0.636604924503076,0.6413636534203909
abalone.csv,customsmote,LightGBM,0.8,0.664274322169059,0.6589593996280844,0.6505717203185446,0.6542246614312502
abalone.csv,customsmote,Random Forest,1.0,0.6754385964912281,0.6701319002688866,0.6682959629959054,0.6687136067283408
abalone.csv,customsmote,XGBoost,1.0,0.645933014354067,0.6375637309649829,0.642230929032004,0.6396630892043736
abalone.csv,customsmote,LightGBM,1.0,0.6578947368421053,0.6501036758615729,0.6529574596309279,0.6512557039427399
abalone.csv,adasyn,Random Forest,1.0,0.6594896331738437,0.6504729742007576,0.6616533004846828,0.6550192015490142
abalone.csv,adasyn,XGBoost,1.0,0.6395534290271132,0.6303665597953677,0.6391964064343294,0.6341522636611108
abalone.csv,adasyn,LightGBM,1.0,0.6403508771929824,0.631185036635078,0.6365922778542187,0.6336388212929421
abalone.csv,borderline,Random Forest,0.6,0.6778309409888357,0.677447902038922,0.6566719639807123,0.6647029419536945
abalone.csv,borderline,XGBoost,0.6,0.6555023923444976,0.6528091687916158,0.637783479988565,0.6439371116623996
abalone.csv,borderline,LightGBM,0.6,0.6499202551834131,0.6461940935613023,0.6361019346415069,0.6404600407656176
abalone.csv,borderline,Random Forest,0.8,0.6682615629984051,0.6650045665827616,0.6535126475157647,0.6584079881199947
abalone.csv,borderline,XGBoost,0.8,0.6594896331738437,0.6551166848005349,0.6509747302617683,0.6528185471287176
abalone.csv,borderline,LightGBM,0.8,0.6467304625199362,0.6421282432740275,0.6350959549183685,0.6382313390492469
abalone.csv,borderline,Random Forest,1.0,0.6730462519936204,0.6640984919088094,0.6675998210703166,0.6657458167416054
abalone.csv,borderline,XGBoost,1.0,0.6515151515151515,0.6432371569317382,0.6477240876539233,0.6452687028228631
abalone.csv,borderline,LightGBM,1.0,0.6499202551834131,0.6429623860316119,0.6391696240957008,0.6409527005676053
balance-scale.csv,Original,Random Forest,,0.8031914893617021,0.573668384879725,0.5944444444444444,0.5803700011077878
balance-scale.csv,Original,XGBoost,,0.8723404255319149,0.6737071172555044,0.6583333333333333,0.6440505137657855
balance-scale.csv,Original,LightGBM,,0.8670212765957447,0.6701388888888888,0.6541666666666667,0.6405180840664711
balance-scale.csv,smote,Random Forest,0.6,0.7712765957446809,0.5715277777777777,0.5717592592592592,0.5669191919191919
balance-scale.csv,smote,XGBoost,0.6,0.8723404255319149,0.6736406619385343,0.6583333333333333,0.6441563977369604
balance-scale.csv,smote,LightGBM,0.6,0.8617021276595744,0.6673364854215919,0.6509259259259259,0.6365610124230815
balance-scale.csv,smote,Random Forest,0.8,0.8138297872340425,0.6107586571504098,0.6171296296296296,0.6091432563548475
balance-scale.csv,smote,XGBoost,0.8,0.8776595744680851,0.7270186335403727,0.6768518518518518,0.6734198930995271
balance-scale.csv,smote,LightGBM,0.8,0.8617021276595744,0.6536439665471924,0.6509259259259259,0.6369709493358652
balance-scale.csv,smote,Random Forest,1.0,0.7978723404255319,0.5753690240141,0.5893518518518518,0.5813017751479289
balance-scale.csv,smote,XGBoost,1.0,0.8829787234042553,0.7304327038010997,0.6805555555555555,0.6772575250836121
balance-scale.csv,smote,LightGBM,1.0,0.8670212765957447,0.6705955334987594,0.6546296296296296,0.6402733301784814
balance-scale.csv,customsmote,Random Forest,0.6,0.776595744680851,0.5764585655890003,0.574537037037037,0.5726282761166482
balance-scale.csv,customsmote,XGBoost,0.6,0.8829787234042553,0.7116747181964573,0.6810185185185186,0.6767147884794943
balance-scale.csv,customsmote,LightGBM,0.6,0.8617021276595744,0.6448592485199951,0.65,0.6372344553302939
