Model,Accuracy,Precision,Recall,F1,dataset,ratio,sampler,seed,n_classes,nrows,nfeat
Decision Tree,0.977391304347826,0.631547619047619,0.8236672524897481,0.6847188831245519,abalone-20_vs_8-9-10,0.8,corsmote,0,2,1916,10
Decision Tree,0.9808695652173912,0.6520667944155489,0.8254247217340362,0.7056633626506585,abalone-20_vs_8-9-10,1.0,corsmote,0,2,1916,10
Decision Tree,0.96,0.5781818181818181,0.814879906268307,0.6187552249992794,abalone-20_vs_8-9-10,0.6,smote,0,2,1916,10
Decision Tree,0.9582608695652174,0.5751015832983046,0.8140011716461628,0.6142665474060822,abalone-20_vs_8-9-10,0.8,smote,0,2,1916,10
Decision Tree,0.954782608695652,0.569600417863672,0.8122437024018746,0.6059983133038161,abalone-20_vs_8-9-10,1.0,smote,0,2,1916,10
LightGBM,0.9930434782608696,0.8723730297723292,0.7491212653778558,0.7982456140350878,abalone-20_vs_8-9-10,0.0,Original,0,2,1916,10
LightGBM,0.991304347826087,0.7768943855516294,0.9131517281780904,0.8311306901615272,abalone-20_vs_8-9-10,0.6,adasyn,0,2,1916,10
LightGBM,0.991304347826087,0.7768943855516294,0.9131517281780904,0.8311306901615272,abalone-20_vs_8-9-10,0.8,adasyn,0,2,1916,10
LightGBM,0.991304347826087,0.7768943855516294,0.9131517281780904,0.8311306901615272,abalone-20_vs_8-9-10,1.0,adasyn,0,2,1916,10
LightGBM,0.991304347826087,0.8298368298368298,0.6657879320445226,0.7200311617489532,abalone-20_vs_8-9-10,0.6,borderline,0,2,1916,10
LightGBM,0.9895652173913044,0.7456369982547992,0.5824545987111892,0.6223730297723292,abalone-20_vs_8-9-10,0.8,borderline,0,2,1916,10
LightGBM,0.9930434782608696,0.8723730297723292,0.7491212653778558,0.7982456140350878,abalone-20_vs_8-9-10,1.0,borderline,0,2,1916,10
LightGBM,0.9930434782608696,0.8116181657848325,0.9140304628002344,0.8553822937625755,abalone-20_vs_8-9-10,0.6,corsmote,0,2,1916,10
LightGBM,0.991304347826087,0.7768943855516294,0.9131517281780904,0.8311306901615272,abalone-20_vs_8-9-10,0.8,corsmote,0,2,1916,10
LightGBM,0.9895652173913044,0.7491150442477876,0.9122729935559462,0.8098544973544973,abalone-20_vs_8-9-10,1.0,corsmote,0,2,1916,10
LightGBM,0.9895652173913044,0.7491150442477876,0.9122729935559462,0.8098544973544973,abalone-20_vs_8-9-10,0.6,smote,0,2,1916,10
LightGBM,0.9843478260869564,0.6914180125923898,0.9096367896895138,0.7591791148959932,abalone-20_vs_8-9-10,0.8,smote,0,2,1916,10
LightGBM,0.9843478260869564,0.6914180125923898,0.9096367896895138,0.7591791148959932,abalone-20_vs_8-9-10,1.0,smote,0,2,1916,10
MLP,0.9930434782608696,0.9965095986038396,0.6666666666666666,0.7482486865148862,abalone-20_vs_8-9-10,0.0,Original,0,2,1916,10
MLP,0.9791304347826087,0.641074611662847,0.8245459871118922,0.6946902654867257,abalone-20_vs_8-9-10,0.6,adasyn,0,2,1916,10
MLP,0.9756521739130436,0.6379912228206663,0.9052431165787932,0.7021166370633511,abalone-20_vs_8-9-10,0.8,adasyn,0,2,1916,10
MLP,0.982608695652174,0.6776801629742806,0.9087580550673696,0.745575221238938,abalone-20_vs_8-9-10,1.0,adasyn,0,2,1916,10
MLP,0.9843478260869564,0.6640164899882214,0.7447275922671353,0.696035242290749,abalone-20_vs_8-9-10,0.6,borderline,0,2,1916,10
MLP,0.9843478260869564,0.6393360160965795,0.662272993555946,0.6498883702049929,abalone-20_vs_8-9-10,0.8,borderline,0,2,1916,10
MLP,0.982608695652174,0.6473451327433628,0.7438488576449912,0.6830908289241622,abalone-20_vs_8-9-10,1.0,borderline,0,2,1916,10
MLP,0.977391304347826,0.631547619047619,0.8236672524897481,0.6847188831245519,abalone-20_vs_8-9-10,0.6,corsmote,0,2,1916,10
MLP,0.9808695652173912,0.6520667944155489,0.8254247217340362,0.7056633626506585,abalone-20_vs_8-9-10,0.8,corsmote,0,2,1916,10
MLP,0.9843478260869564,0.6914180125923898,0.9096367896895138,0.7591791148959932,abalone-20_vs_8-9-10,1.0,corsmote,0,2,1916,10
MLP,0.9808695652173912,0.6520667944155489,0.8254247217340362,0.7056633626506585,abalone-20_vs_8-9-10,0.6,smote,0,2,1916,10
MLP,0.9808695652173912,0.6657738095238095,0.9078793204452256,0.7332236703361592,abalone-20_vs_8-9-10,0.8,smote,0,2,1916,10
MLP,0.9808695652173912,0.6657738095238095,0.9078793204452256,0.7332236703361592,abalone-20_vs_8-9-10,1.0,smote,0,2,1916,10
Random Forest,0.9895652173913044,0.4947826086956521,0.5,0.4973776223776224,abalone-20_vs_8-9-10,0.0,Original,0,2,1916,10
Random Forest,0.991304347826087,0.7768943855516294,0.9131517281780904,0.8311306901615272,abalone-20_vs_8-9-10,0.6,adasyn,0,2,1916,10
Random Forest,0.9895652173913044,0.7491150442477876,0.9122729935559462,0.8098544973544973,abalone-20_vs_8-9-10,0.8,adasyn,0,2,1916,10
Random Forest,0.9843478260869564,0.6914180125923898,0.9096367896895138,0.7591791148959932,abalone-20_vs_8-9-10,1.0,adasyn,0,2,1916,10
Random Forest,0.991304347826087,0.995644599303136,0.5833333333333334,0.6406699162604674,abalone-20_vs_8-9-10,0.6,borderline,0,2,1916,10
Random Forest,0.9895652173913044,0.4947826086956521,0.5,0.4973776223776224,abalone-20_vs_8-9-10,0.8,borderline,0,2,1916,10
Random Forest,0.991304347826087,0.995644599303136,0.5833333333333334,0.6406699162604674,abalone-20_vs_8-9-10,1.0,borderline,0,2,1916,10
Random Forest,0.9895652173913044,0.7491150442477876,0.9122729935559462,0.8098544973544973,abalone-20_vs_8-9-10,0.6,corsmote,0,2,1916,10
Random Forest,0.9843478260869564,0.6800451321727918,0.8271821909783246,0.7313223612481179,abalone-20_vs_8-9-10,0.8,corsmote,0,2,1916,10
Random Forest,0.982608695652174,0.664890467732386,0.8263034563561804,0.7178052610914802,abalone-20_vs_8-9-10,1.0,corsmote,0,2,1916,10
Random Forest,0.9843478260869564,0.6914180125923898,0.9096367896895138,0.7591791148959932,abalone-20_vs_8-9-10,0.6,smote,0,2,1916,10
Random Forest,0.9808695652173912,0.6657738095238095,0.9078793204452256,0.7332236703361592,abalone-20_vs_8-9-10,0.8,smote,0,2,1916,10
Random Forest,0.9791304347826087,0.6553555456171736,0.9070005858230814,0.721953578336557,abalone-20_vs_8-9-10,1.0,smote,0,2,1916,10
SVM,0.9895652173913044,0.4947826086956521,0.5,0.4973776223776224,abalone-20_vs_8-9-10,0.0,Original,0,2,1916,10
SVM,0.9686956521739132,0.5981981981981982,0.8192735793790276,0.6458390364084314,abalone-20_vs_8-9-10,0.6,adasyn,0,2,1916,10
SVM,0.9652173913043478,0.5891007726450764,0.8175161101347392,0.6339444868856634,abalone-20_vs_8-9-10,0.8,adasyn,0,2,1916,10
SVM,0.9652173913043478,0.5891007726450764,0.8175161101347392,0.6339444868856634,abalone-20_vs_8-9-10,1.0,adasyn,0,2,1916,10
SVM,0.982608695652174,0.5789396602226128,0.5789396602226128,0.5789396602226128,abalone-20_vs_8-9-10,0.6,borderline,0,2,1916,10
SVM,0.9843478260869564,0.4947552447552447,0.4973637961335677,0.4960560911481156,abalone-20_vs_8-9-10,0.8,borderline,0,2,1916,10
SVM,0.9808695652173912,0.4947368421052631,0.4956063268892794,0.495171202809482,abalone-20_vs_8-9-10,1.0,borderline,0,2,1916,10
SVM,0.96,0.5916801838334685,0.8973345049794962,0.6412197173164049,abalone-20_vs_8-9-10,0.6,corsmote,0,2,1916,10
SVM,0.9582608695652174,0.5883716375032646,0.8964557703573521,0.6363061353573688,abalone-20_vs_8-9-10,0.8,corsmote,0,2,1916,10
SVM,0.9530434782608695,0.5797260436432637,0.8938195664909198,0.6230057550812268,abalone-20_vs_8-9-10,1.0,corsmote,0,2,1916,10
SVM,0.9652173913043478,0.6032592256503327,0.8999707088459286,0.6577380952380952,abalone-20_vs_8-9-10,0.6,smote,0,2,1916,10
SVM,0.9634782608695652,0.5990909090909091,0.8990919742237844,0.6519069445645593,abalone-20_vs_8-9-10,0.8,smote,0,2,1916,10
SVM,0.96,0.5781818181818181,0.814879906268307,0.6187552249992794,abalone-20_vs_8-9-10,1.0,smote,0,2,1916,10
TabNet,0.9860869565217392,0.6206217162872154,0.580697129466901,0.5964912280701754,abalone-20_vs_8-9-10,0.0,Original,0,2,1916,10
TabNet,0.9739130434782608,0.573364358061867,0.6570005858230814,0.5986318581599888,abalone-20_vs_8-9-10,0.6,adasyn,0,2,1916,10
TabNet,0.9652173913043478,0.6032592256503327,0.8999707088459286,0.6577380952380952,abalone-20_vs_8-9-10,0.8,adasyn,0,2,1916,10
TabNet,0.9704347826086956,0.6034645967436577,0.8201523140011716,0.6524444444444445,abalone-20_vs_8-9-10,1.0,adasyn,0,2,1916,10
TabNet,0.9791304347826087,0.5964601769911504,0.6596367896895138,0.6197089947089947,abalone-20_vs_8-9-10,0.6,borderline,0,2,1916,10
TabNet,0.982608695652174,0.6214726631393298,0.661394258933802,0.6384557344064385,abalone-20_vs_8-9-10,0.8,borderline,0,2,1916,10
TabNet,0.9808695652173912,0.6657738095238095,0.9078793204452256,0.7332236703361592,abalone-20_vs_8-9-10,1.0,borderline,0,2,1916,10
TabNet,0.9617391304347828,0.59524309934146,0.8982132396016403,0.6464110017889088,abalone-20_vs_8-9-10,0.6,corsmote,0,2,1916,10
TabNet,0.9617391304347828,0.59524309934146,0.8982132396016403,0.6464110017889088,abalone-20_vs_8-9-10,0.8,corsmote,0,2,1916,10
TabNet,0.951304347826087,0.5772041896869244,0.8929408318687757,0.6189890193108671,abalone-20_vs_8-9-10,1.0,corsmote,0,2,1916,10
TabNet,0.9739130434782608,0.6306796667928815,0.9043643819566493,0.6933333333333334,abalone-20_vs_8-9-10,0.6,smote,0,2,1916,10
TabNet,0.9756521739130436,0.623211091234347,0.822788517867604,0.6756125080593165,abalone-20_vs_8-9-10,0.8,smote,0,2,1916,10
TabNet,0.942608695652174,0.5666381995378278,0.8885471587580551,0.6013739207159513,abalone-20_vs_8-9-10,1.0,smote,0,2,1916,10
XGBoost,0.991304347826087,0.995644599303136,0.5833333333333334,0.6406699162604674,abalone-20_vs_8-9-10,0.0,Original,0,2,1916,10
XGBoost,0.9878260869565216,0.7263862024500323,0.911394258933802,0.7910285031929807,abalone-20_vs_8-9-10,0.6,adasyn,0,2,1916,10
XGBoost,0.982608695652174,0.6776801629742806,0.9087580550673696,0.745575221238938,abalone-20_vs_8-9-10,0.8,adasyn,0,2,1916,10
XGBoost,0.9843478260869564,0.6914180125923898,0.9096367896895138,0.7591791148959932,abalone-20_vs_8-9-10,1.0,adasyn,0,2,1916,10
XGBoost,0.9895652173913044,0.7464973730297724,0.6649091974223784,0.6973684210526316,abalone-20_vs_8-9-10,0.6,borderline,0,2,1916,10
XGBoost,0.9895652173913044,0.7464973730297724,0.6649091974223784,0.6973684210526316,abalone-20_vs_8-9-10,0.8,borderline,0,2,1916,10
XGBoost,0.991304347826087,0.8298368298368298,0.6657879320445226,0.7200311617489532,abalone-20_vs_8-9-10,1.0,borderline,0,2,1916,10
XGBoost,0.9895652173913044,0.7491150442477876,0.9122729935559462,0.8098544973544973,abalone-20_vs_8-9-10,0.6,corsmote,0,2,1916,10
XGBoost,0.9860869565217392,0.7074452338661931,0.9105155243116578,0.7742442088731841,abalone-20_vs_8-9-10,0.8,corsmote,0,2,1916,10
XGBoost,0.9878260869565216,0.7263862024500323,0.911394258933802,0.7910285031929807,abalone-20_vs_8-9-10,1.0,corsmote,0,2,1916,10
XGBoost,0.977391304347826,0.6461627661817415,0.9061218512009374,0.7116237799467613,abalone-20_vs_8-9-10,0.6,smote,0,2,1916,10
XGBoost,0.9756521739130436,0.6379912228206663,0.9052431165787932,0.7021166370633511,abalone-20_vs_8-9-10,0.8,smote,0,2,1916,10
XGBoost,0.9704347826086956,0.6181450919718068,0.9026069127123608,0.6776161736090498,abalone-20_vs_8-9-10,1.0,smote,0,2,1916,10
Bagging,0.9791304347826087,0.490418118466899,0.499113475177305,0.4947275922671353,abalone-20_vs_8-9-10,0.0,Original,1,2,1916,10
Bagging,0.9617391304347828,0.581066835336285,0.6239522888459059,0.5973389355742297,abalone-20_vs_8-9-10,0.6,adasyn,1,2,1916,10
Bagging,0.9530434782608695,0.5609485451257603,0.6195196647324307,0.5788231464149101,abalone-20_vs_8-9-10,0.8,adasyn,1,2,1916,10
Bagging,0.9565217391304348,0.5677927927927928,0.6212927143778207,0.5856035054339992,abalone-20_vs_8-9-10,1.0,adasyn,1,2,1916,10
Bagging,0.9669565217391304,0.6000127323656735,0.626611863313991,0.6115555555555556,abalone-20_vs_8-9-10,0.6,borderline,1,2,1916,10
Bagging,0.9721739130434782,0.6292714377820761,0.6292714377820761,0.6292714377820761,abalone-20_vs_8-9-10,0.8,borderline,1,2,1916,10
Bagging,0.9686956521739132,0.6082671776621955,0.627498388136686,0.6170071047957371,abalone-20_vs_8-9-10,1.0,borderline,1,2,1916,10
Bagging,0.9652173913043478,0.5689159594853546,0.5811573178594456,0.5744523386619301,abalone-20_vs_8-9-10,0.6,corsmote,1,2,1916,10
Bagging,0.9704347826086956,0.5920353982300885,0.5838168923275306,0.587709308701337,abalone-20_vs_8-9-10,0.8,corsmote,1,2,1916,10
Bagging,0.9686956521739132,0.5829303675048356,0.5829303675048356,0.5829303675048356,abalone-20_vs_8-9-10,1.0,corsmote,1,2,1916,10
Bagging,0.9634782608695652,0.6048274486335528,0.6694068343004513,0.6285643975514472,abalone-20_vs_8-9-10,0.6,smote,1,2,1916,10
Bagging,0.96,0.5936936936936937,0.6676337846550613,0.6187552249992794,abalone-20_vs_8-9-10,0.8,smote,1,2,1916,10
Bagging,0.954782608695652,0.5945454545454546,0.7095422308188265,0.6272192300019948,abalone-20_vs_8-9-10,1.0,smote,1,2,1916,10
Decision Tree,0.9721739130434782,0.4903508771929825,0.4955673758865248,0.4929453262786596,abalone-20_vs_8-9-10,0.0,Original,1,2,1916,10
Decision Tree,0.9565217391304348,0.547476560941552,0.5767246937459704,0.5578147589898182,abalone-20_vs_8-9-10,0.6,adasyn,1,2,1916,10
Decision Tree,0.9634782608695652,0.5865943649373881,0.624838813668601,0.6017611556347087,abalone-20_vs_8-9-10,0.8,adasyn,1,2,1916,10
Decision Tree,0.954782608695652,0.5642083548220732,0.6204061895551257,0.5821220930232558,abalone-20_vs_8-9-10,1.0,adasyn,1,2,1916,10
Decision Tree,0.9634782608695652,0.6195945945945946,0.7139748549323017,0.6519069445645593,abalone-20_vs_8-9-10,0.6,borderline,1,2,1916,10
Decision Tree,0.9669565217391304,0.6335028924795532,0.7157479045776918,0.6639392168322619,abalone-20_vs_8-9-10,0.8,borderline,1,2,1916,10
Decision Tree,0.9634782608695652,0.6048274486335528,0.6694068343004513,0.6285643975514472,abalone-20_vs_8-9-10,1.0,borderline,1,2,1916,10
Decision Tree,0.96,0.5544499105545617,0.5784977433913604,0.563833646647538,abalone-20_vs_8-9-10,0.6,corsmote,1,2,1916,10
Decision Tree,0.9634782608695652,0.5634071810542399,0.5802707930367504,0.5706666666666667,abalone-20_vs_8-9-10,0.8,corsmote,1,2,1916,10
Decision Tree,0.9634782608695652,0.5634071810542399,0.5802707930367504,0.5706666666666667,abalone-20_vs_8-9-10,1.0,corsmote,1,2,1916,10
Decision Tree,0.9530434782608695,0.6025724732306085,0.753223726627982,0.6416949387246418,abalone-20_vs_8-9-10,0.6,smote,1,2,1916,10
Decision Tree,0.9530434782608695,0.6025724732306085,0.753223726627982,0.6416949387246418,abalone-20_vs_8-9-10,0.8,smote,1,2,1916,10
Decision Tree,0.9582608695652174,0.6032608695652174,0.7113152804642167,0.6363061353573688,abalone-20_vs_8-9-10,1.0,smote,1,2,1916,10
LightGBM,0.9756521739130436,0.6349346076458753,0.5864764667956157,0.6049273655280722,abalone-20_vs_8-9-10,0.0,Original,1,2,1916,10
LightGBM,0.9652173913043478,0.6113746573898377,0.6702933591231464,0.6339444868856634,abalone-20_vs_8-9-10,0.6,adasyn,1,2,1916,10
LightGBM,0.9669565217391304,0.6187388193202147,0.6711798839458414,0.6396886646218792,abalone-20_vs_8-9-10,0.8,adasyn,1,2,1916,10
LightGBM,0.9652173913043478,0.6113746573898377,0.6702933591231464,0.6339444868856634,abalone-20_vs_8-9-10,1.0,adasyn,1,2,1916,10
LightGBM,0.9704347826086956,0.6178952042628774,0.628384912959381,0.6228926353149956,abalone-20_vs_8-9-10,0.6,borderline,1,2,1916,10
LightGBM,0.9669565217391304,0.6000127323656735,0.626611863313991,0.6115555555555556,abalone-20_vs_8-9-10,0.8,borderline,1,2,1916,10
LightGBM,0.9669565217391304,0.6000127323656735,0.626611863313991,0.6115555555555556,abalone-20_vs_8-9-10,1.0,borderline,1,2,1916,10
LightGBM,0.9704347826086956,0.6178952042628774,0.628384912959381,0.6228926353149956,abalone-20_vs_8-9-10,0.6,corsmote,1,2,1916,10
LightGBM,0.9652173913043478,0.5928571428571429,0.625725338491296,0.6064878182315905,abalone-20_vs_8-9-10,0.8,corsmote,1,2,1916,10
LightGBM,0.9739130434782608,0.6732238349885409,0.719294003868472,0.6933333333333334,abalone-20_vs_8-9-10,1.0,corsmote,1,2,1916,10
LightGBM,0.9704347826086956,0.6366182836771073,0.6729529335912314,0.6524444444444445,abalone-20_vs_8-9-10,0.6,smote,1,2,1916,10
LightGBM,0.9686956521739132,0.6270833333333333,0.6720664087685364,0.6458390364084314,abalone-20_vs_8-9-10,0.8,smote,1,2,1916,10
LightGBM,0.9669565217391304,0.6187388193202147,0.6711798839458414,0.6396886646218792,abalone-20_vs_8-9-10,1.0,smote,1,2,1916,10
MLP,0.9808695652173912,0.7421190893169878,0.5891360412637009,0.6284875183553598,abalone-20_vs_8-9-10,0.0,Original,1,2,1916,10
MLP,0.9756521739130436,0.6955357142857144,0.7647485493230174,0.7245414727621133,abalone-20_vs_8-9-10,0.6,adasyn,1,2,1916,10
MLP,0.9756521739130436,0.6955357142857144,0.7647485493230174,0.7245414727621133,abalone-20_vs_8-9-10,0.8,adasyn,1,2,1916,10
MLP,0.977391304347826,0.7098293862999745,0.7656350741457124,0.7342222222222222,abalone-20_vs_8-9-10,1.0,adasyn,1,2,1916,10
MLP,0.977391304347826,0.7030047365304914,0.721067053513862,0.7116237799467613,abalone-20_vs_8-9-10,0.6,borderline,1,2,1916,10
MLP,0.9739130434782608,0.6604499703966844,0.6747259832366215,0.6672582076308784,abalone-20_vs_8-9-10,0.8,borderline,1,2,1916,10
MLP,0.9739130434782608,0.6604499703966844,0.6747259832366215,0.6672582076308784,abalone-20_vs_8-9-10,1.0,borderline,1,2,1916,10
MLP,0.9808695652173912,0.7455595026642984,0.7674081237911026,0.7559893522626442,abalone-20_vs_8-9-10,0.6,corsmote,1,2,1916,10
MLP,0.9756521739130436,0.6955357142857144,0.7647485493230174,0.7245414727621133,abalone-20_vs_8-9-10,0.8,corsmote,1,2,1916,10
MLP,0.9791304347826087,0.7263208321927184,0.7665215989684074,0.7446714031971581,abalone-20_vs_8-9-10,1.0,corsmote,1,2,1916,10
MLP,0.9756521739130436,0.7022981235504955,0.8093165699548679,0.7437611408199644,abalone-20_vs_8-9-10,0.6,smote,1,2,1916,10
MLP,0.977391304347826,0.7151721824686941,0.8102030947775629,0.753471191583391,abalone-20_vs_8-9-10,0.8,smote,1,2,1916,10
MLP,0.977391304347826,0.7151721824686941,0.8102030947775629,0.753471191583391,abalone-20_vs_8-9-10,1.0,smote,1,2,1916,10
Random Forest,0.9791304347826087,0.490418118466899,0.499113475177305,0.4947275922671353,abalone-20_vs_8-9-10,0.0,Original,1,2,1916,10
Random Forest,0.9686956521739132,0.5829303675048356,0.5829303675048356,0.5829303675048356,abalone-20_vs_8-9-10,0.6,adasyn,1,2,1916,10
Random Forest,0.9721739130434782,0.6292714377820761,0.6292714377820761,0.6292714377820761,abalone-20_vs_8-9-10,0.8,adasyn,1,2,1916,10
Random Forest,0.9721739130434782,0.6476183958390365,0.6738394584139265,0.6595618709295441,abalone-20_vs_8-9-10,1.0,adasyn,1,2,1916,10
Random Forest,0.982608695652174,0.8254662004662005,0.5900225660863959,0.6384557344064385,abalone-20_vs_8-9-10,0.6,borderline,1,2,1916,10
Random Forest,0.9808695652173912,0.7421190893169878,0.5891360412637009,0.6284875183553598,abalone-20_vs_8-9-10,0.8,borderline,1,2,1916,10
Random Forest,0.977391304347826,0.4904013961605584,0.4982269503546099,0.4942832014072119,abalone-20_vs_8-9-10,1.0,borderline,1,2,1916,10
Random Forest,0.9739130434782608,0.6170634920634921,0.5855899419729207,0.5986318581599888,abalone-20_vs_8-9-10,0.6,corsmote,1,2,1916,10
Random Forest,0.9721739130434782,0.6031605810757754,0.5847034171502257,0.5929203539823009,abalone-20_vs_8-9-10,0.8,corsmote,1,2,1916,10
Random Forest,0.9721739130434782,0.6031605810757754,0.5847034171502257,0.5929203539823009,abalone-20_vs_8-9-10,1.0,corsmote,1,2,1916,10
Random Forest,0.9686956521739132,0.6270833333333333,0.6720664087685364,0.6458390364084314,abalone-20_vs_8-9-10,0.6,smote,1,2,1916,10
